Date,Open,High,Low,Close,Volume
2015-07-10,173.27037922674475,173.847141195784,171.31441383532407,173.42919921875,129456900
2015-07-13,174.6913649093545,175.45200949545605,174.64956816725388,175.34335327148438,106069400
2015-07-14,175.30156255048627,176.41328960475772,175.24304455862048,176.10400390625,81709600
2015-07-15,176.14580369154305,176.60554236922965,175.56904178267948,176.04550170898438,97914100
2015-07-16,177.09873890698512,177.4581756591797,176.8563381591246,177.4581756591797,106683300
2015-07-17,177.44974633930389,177.66708426579632,177.04017148628014,177.6085662841797,89030000
2015-07-20,177.83432128353846,178.19374528191426,177.38294953483293,177.70057678222656,70446800
2015-07-21,177.56683862252422,177.82597338603733,176.69752484210574,176.99844360351562,77965000
2015-07-22,176.3129951546989,177.01514736499615,176.27956540876897,176.6807861328125,88667900
2015-07-23,176.81448328655927,176.91478525207174,175.32661127678128,175.68603515625,90509100
2015-07-24,175.7863812866775,175.84488652548933,173.52949737736176,173.8638458251953,117755000
2015-07-27,172.97782249320676,173.48771220062577,172.40941478849834,172.85243225097656,132361100
2015-07-28,173.68833267941108,175.1176999473199,172.86081567313872,174.97560119628906,123544800
2015-07-29,175.10099316780972,176.40497028935027,174.95889440503456,176.17929077148438,105791300
2015-07-30,175.66933720699794,176.38819776364778,175.05077862187974,176.2210235595703,91304400
2015-07-31,176.72253321454752,176.7476087055919,175.66932432696382,175.95352172851562,103266900
2015-08-03,175.9201150310407,175.97862026628187,174.4071545973059,175.3600616455078,113965700
2015-08-04,175.28482541932374,175.74456404741375,174.53253512213954,175.01734924316406,81820800
2015-08-05,175.91169752305893,176.63055791475102,175.30986032282505,175.5940704345703,85786800
2015-08-06,175.77799111739955,175.8866600881819,173.57125849064948,174.15638732910156,116030800
2015-08-07,173.99762377888777,174.14807678298348,172.91932623122239,173.82208251953125,117858000
2015-08-10,174.93380271583044,176.09568096708327,174.93380271583044,176.01210021972656,80270700
2015-08-11,174.67462631570467,175.09256818605766,173.66320137743796,174.42385864257812,126081400
2015-08-12,173.11989537119487,174.81673847505203,171.6570987123818,174.63284301757812,172123700
2015-08-13,174.47403258091833,175.15946346067116,173.87219518806353,174.41552734375,89383300
2015-08-14,174.22329726868278,175.1260535258173,174.08119851819555,175.0508270263672,72786500
2015-08-17,174.45735534601607,176.02880859375,173.99761659485281,176.02880859375,79072600
2015-08-18,175.75292156352995,176.1039912257194,175.28482868061067,175.5188751220703,71692700
2015-08-19,174.77495378843668,175.543965411561,173.32052403028706,174.13133239746094,172946000
2015-08-20,172.61836329246614,174.10623547356118,170.43670600935428,170.49522399902344,194327900
2015-08-21,168.6228416186139,170.47015049672353,165.10377783345345,165.36289978027344,346588500
2015-08-24,156.71985680685256,165.0703277288356,152.46519861065372,158.3999786376953,507244300
2015-08-25,163.35676717483423,163.37348842234678,156.2434005299375,156.5359649658203,369833100
2015-08-26,160.55655206820418,162.82178988585238,157.45541774682738,162.54595947265625,339257000
2015-08-27,164.68588074182307,166.6919973799637,163.17293263699335,166.56661987304688,274143900
2015-08-28,165.92293231844926,167.0430135359747,165.43811818969027,166.57492065429688,160414400
2015-08-31,165.59697800858308,166.4495832508979,164.67750051642227,165.22918701171875,163298800
2015-09-01,161.42589041638857,162.8051064676503,159.42812845841777,160.29745483398438,256000400
2015-09-02,162.67973241882933,163.3818846395931,160.84079025542636,163.340087890625,160269300
2015-09-03,164.05062394326157,165.54686376226337,162.96398471711137,163.4571533203125,152087800
2015-09-04,161.20015650128119,162.04439434112857,160.16365625116865,160.98281860351562,207081000
2015-09-08,163.78307522572973,165.17899965322377,163.13944112289605,165.02853393554688,116025700
2015-09-09,166.60838901088866,166.7337664970237,162.45404490926228,162.8218231201172,149347700
2015-09-10,162.6295579280601,164.8530120043565,162.3704359782991,163.70785522460938,158611100
2015-09-11,163.31493429658647,164.51860866565121,162.60442816761687,164.4517364501953,119691200
2015-09-14,164.62727008895752,164.67742106350101,163.35672346404664,163.84153747558594,79452000
2015-09-15,164.3431209155258,166.3325285195203,163.79980152590844,165.88951110839844,113806200
2015-09-16,166.1904652381236,167.51951775490605,165.84774973241406,167.32725524902344,99581600
2015-09-17,167.19343266122635,169.5924143886235,166.57487423733124,166.95101928710938,276046600
2015-09-18,164.441307212403,166.9367768216482,163.81113514057012,164.22283935546875,223657500
2015-09-21,165.0546487330284,166.09652487853594,164.02117026515552,165.0714569091797,105726200
2015-09-22,162.90371869825682,163.39105340400803,161.79460947395006,162.92892456054688,153890900
2015-09-23,163.09695421628368,163.5674807006895,162.08868134671624,162.66844177246094,92790600
2015-09-24,161.45011952068916,162.54242061228655,160.11415747570365,162.08029174804688,159378800
2015-09-25,163.5422434508639,163.84472653576523,161.16439280417225,162.03823852539062,155054800
2015-09-28,161.1392111367556,161.2484450735252,157.66066154868136,157.97154235839844,178515900
2015-09-29,158.19003749953106,159.4251760927764,157.06412004099744,158.06399536132812,159045600
2015-09-30,159.9544862157138,161.18122692999685,159.17307893276782,161.01318359375,163452000
2015-10-01,161.39127453747872,161.7357716895095,159.49236059313813,161.43328857421875,131079000
2015-10-02,159.45031571346337,163.86991715670254,158.90415898325543,163.84471130371094,211003300
2015-10-05,165.0714586158716,166.987180448708,164.96222470108148,166.76031494140625,126320800
2015-10-06,166.62593361163326,167.1888859175835,165.52523486261958,166.1890106201172,110274500
2015-10-07,167.1216456398194,167.90306575672685,165.92852126535018,167.5501708984375,124307300
2015-10-08,167.16364949767825,169.3482512350333,166.8611663774427,169.0625762939453,153055200
2015-10-09,169.20542041114757,169.64233051907377,168.53323424856578,169.1634063720703,107069200
2015-10-12,169.23903100037617,169.52470596458713,168.8105185540597,169.32305908203125,56395600
2015-10-13,168.5920681650384,169.86082309690977,168.08793808544954,168.2559814453125,88038700
2015-10-14,168.19717525835023,168.77693580292106,167.15529863530722,167.44937133789062,99106200
2015-10-15,168.11312219642502,170.02884445694005,167.74341916003004,170.02044677734375,134142200
2015-10-16,170.42370831618695,170.810206609637,169.65909658578246,170.7934112548828,114580100
2015-10-19,170.14647635033947,170.87747192382812,169.8355955332714,170.87747192382812,76523900
2015-10-20,170.44052631091918,171.27234515002456,170.18845494538817,170.6589813232422,78448500
2015-10-21,171.07914120680377,171.23037637356308,169.43228562818382,169.600341796875,102038000
2015-10-22,170.54980785192444,172.6755878044173,169.60035708185666,172.4655303955078,174911700
2015-10-23,174.13756301300612,174.72572109591775,173.33934755613427,174.35601806640625,144442300
2015-10-26,174.17959218678527,174.2384015897442,173.5578176903174,173.92752075195312,69033000
2015-10-27,173.25533115055208,173.9275173566874,172.91083395703598,173.5914306640625,77905800
2015-10-28,173.9274884368756,175.59113908425056,173.26371284200084,175.56593322753906,135906700
2015-10-29,175.0617661890014,175.83477554646788,174.9441346089713,175.46507263183594,90525500
2015-10-30,175.65834080433405,175.97763205082745,174.54924476111194,174.70887756347656,131076900
2015-11-02,175.03665588413068,176.96917392225177,174.91061373758734,176.7759246826172,86270800
2015-11-03,176.42295591692965,177.8429455558606,176.19609040480495,177.28839111328125,95246100
2015-11-04,177.5824878448877,177.70851712584357,176.2129098277128,176.7506561279297,96224500
2015-11-05,176.80951253517802,177.27164138970872,175.6836079229662,176.57424926757812,78408700
2015-11-06,176.2297529116001,176.71708759596183,175.1542600981416,176.4818115234375,110471500
2015-11-09,175.86837826649335,176.01962619491167,173.88543676875491,174.83489990234375,131008700
2015-11-10,174.3560376162677,175.2718976132983,174.08717081431166,175.23828125,75874600
2015-11-11,175.50713169043908,175.55754340611824,174.48205073534925,174.5492706298828,67846000
2015-11-12,173.50742469269002,173.97795125068419,172.09584501870754,172.11264038085938,121315200
2015-11-13,171.7008950599256,171.9697618199223,170.09605371636437,170.18006896972656,153577100
2015-11-16,169.99521292019335,172.8267818048675,169.87756849991152,172.76795959472656,117645200
2015-11-17,173.07890602949882,173.9611368839341,172.14625062773905,172.64198303222656,121123700
2015-11-18,173.12085393898545,175.5239104525939,173.07885272714665,175.38107299804688,121342500
2015-11-19,175.26352298288356,175.65003431460408,174.93583388853102,175.22991943359375,88220500
2015-11-20,175.98608560962322,176.54903789817084,175.4903532269914,175.8684539794922,94011500
2015-11-23,175.92723236312372,176.43136230053122,175.20463458071166,175.66676330566406,64931200
2015-11-24,174.65850492161297,176.30536040976253,174.27200652498112,175.9020538330078,98874400
2015-11-25,176.02811201432047,176.22977174622852,175.6163948695075,175.8768768310547,51980100
2015-11-27,175.9692877723704,176.28018145811757,175.49036354328518,176.07852172851562,37317800
2015-11-30,176.23816025391488,176.35579188618337,175.23828496918972,175.34751892089844,112822700
2015-12-01,175.9776852937027,177.1372062168334,175.70040799378512,177.01956176757812,97858400
2015-12-02,176.9691350683328,177.2884263844097,174.96098705482348,175.2130584716797,108441300
2015-12-03,175.46509145374574,175.73395817084955,172.03695426971876,172.75955200195312,166224200
2015-12-04,172.7595905214948,176.42299170763283,172.7595905214948,176.12890625,192913900
2015-12-07,175.80120656208416,176.22132129264844,174.09554178166388,175.0618133544922,102027100
2015-12-08,173.49899964415422,175.01140253603222,172.90243103880024,173.885498046875,103372400
2015-12-09,173.24694565951123,175.33910918693573,171.55807593490235,172.53274536132812,162401500
2015-12-10,172.599941892721,174.2887985677135,172.3646786590171,172.97804260253906,116128900
2015-12-11,170.86071854701925,171.52449438407166,169.3146861196413,169.62557983398438,211173300
2015-12-14,169.78510402460478,170.60852497038084,168.0038095762857,170.48248291015625,182385200
2015-12-15,171.99498528490597,173.17971202028292,170.45736367916072,172.2722625732422,154069600
2015-12-16,173.39812394029198,175.09539078859135,172.07897054983877,174.79290771484375,197017000
2015-12-17,175.10375438371844,175.17097425600983,172.11254058159005,172.1293487548828,173092500
2015-12-18,171.3873100077972,171.5225370211609,168.90233146446238,169.06292724609375,251393500
2015-12-21,170.23776439102394,170.6350234924526,169.12205468560254,170.45751953125,99094300
2015-12-22,171.34507021894885,172.30018448901274,170.3561524150479,172.0043487548828,111026200
2015-12-23,173.01011996624464,174.17654142054963,172.91714415615968,174.13427734375,110987200
2015-12-24,173.88070973162925,174.3963005270564,173.62713816225454,173.84689331054688,48539600
2015-12-28,173.15381035082765,173.49189717640118,172.37620033426,173.44964599609375,65899900
2015-12-29,174.5484659304294,175.63035944290874,174.51466240068416,175.30072021484375,92640700
2015-12-30,175.05557506677826,175.1401032204624,173.91450947796972,174.05819702148438,63317700
2015-12-31,173.38204524222868,174.02441544079304,172.31704711914062,172.31704711914062,114877900
2016-01-04,169.46017121139246,169.91658974704953,167.85422643642048,169.90814208984375,222353500
2016-01-05,170.22932965082862,170.65194468263027,169.08827680327653,170.19552612304688,110845800
2016-01-06,167.6429557527611,169.09675273703556,167.01749365530566,168.04867553710938,152112600
2016-01-07,165.09873881821105,166.8821742168141,163.6280343193363,164.016845703125,213436100
2016-01-08,164.98044314289444,165.53829802935783,161.9291623754755,162.21653747558594,209817200
2016-01-11,163.13785340380966,163.4759531747563,160.44158027718976,162.3771514892578,187941300
2016-01-12,163.8224957637583,164.43951009387482,161.55727250549293,163.687255859375,172330500
2016-01-13,164.3549705671791,164.70151796175867,159.22443118474726,159.6047821044922,221168900
2016-01-14,160.21336724550912,163.34916367864253,158.615882880263,162.22500610351562,240795600
2016-01-15,157.8636269070395,159.545626525403,156.8070892986453,158.74266052246094,324846400
2016-01-19,160.5598936850177,160.6866730239404,157.3818206860378,158.95394897460938,195244400
2016-01-20,156.39290793131943,158.48062709063498,153.00354022959485,156.9169464111328,286547800
2016-01-21,157.39032886210708,159.63863150145605,156.0633111929954,157.79603576660156,195772900
2016-01-22,160.4077435595524,161.23606532350894,159.64704174123105,161.03321838378906,168319600
2016-01-25,160.52604568513738,160.72044493230607,158.4045234823235,158.5989227294922,130371700
2016-01-26,159.25820251048597,161.0416379619571,158.9201157384431,160.76271057128906,141036800
2016-01-27,160.23873422062803,161.91228631514613,158.1087506203031,159.01315307617188,185681700
2016-01-28,160.55989658220685,160.76274352814337,158.19325000118587,159.84144592285156,143798800
2016-01-29,160.61062728231084,163.873215985602,160.49229558414746,163.73797607421875,210529300
2016-02-01,162.73213374182845,164.464857851863,162.14892296798,163.6787872314453,136061600
2016-02-02,162.2503902851481,162.25883794392138,160.20492190938126,160.72897338867188,182564900
2016-02-03,161.78548070059944,162.09821167988892,158.14254138972404,161.6925048828125,205054900
2016-02-04,161.19380605683648,162.91806944389361,160.55988360763845,161.94606018066406,139531800
2016-02-05,161.43049912112437,162.00524939021113,158.22706986575446,158.86099243164062,180788300
2016-02-08,157.0183545304462,157.31417724280985,154.50802081723677,156.72251892089844,191526700
2016-02-09,154.9813833014251,158.0073084440495,154.8461433973868,156.7310028076172,184513100
2016-02-10,157.55931048204576,159.190598016285,156.468956676666,156.5957489013672,148214100
2016-02-11,154.11926880693227,155.6068821864375,153.06273107589232,154.5587921142578,219058900
2016-02-12,156.33375242808964,157.76218034884897,155.48852239590252,157.7452850341797,127632400
2016-02-16,159.55411325306656,160.43314701268105,158.59055131203985,160.4077911376953,120250700
2016-02-17,161.57415758059193,163.39985733676687,161.44736535194392,163.0279541015625,136009500
2016-02-18,163.29841997201936,163.3575922577956,162.0474832862532,162.36021423339844,102343000
2016-02-19,161.5826523475565,162.43633018840046,160.9740855847328,162.28419494628906,114793000
2016-02-22,163.86474867785222,164.7775986962907,163.79712872494707,164.6339111328125,103640300
2016-02-23,163.97465273403023,164.24513257867517,162.43632763628713,162.55467224121094,111455300
2016-02-24,161.12624219738512,163.57740469524649,160.0189926642714,163.29847717285156,150812200
2016-02-25,163.7464566851493,165.28478196803928,162.9857546006108,165.2763214111328,110728300
2016-02-26,166.14688487697853,166.23984780551964,164.7353392780452,164.89593505859375,129833700
2016-02-29,164.912800528942,165.85945385668708,163.40829239141104,163.60269165039062,125918100
2016-03-01,164.82831369073514,167.5330602715892,164.35498690824195,167.4485321044922,141799700
2016-03-02,167.1357596325337,168.25145635770718,166.7215923520189,168.20074462890625,102415000
2016-03-03,168.0232944198999,168.8769851183664,167.4485441134209,168.86007690429688,95172200
2016-03-04,169.05448972261064,170.1871080063001,168.22616772771258,169.40948486328125,129293600
2016-03-07,168.48814026472485,169.9503974086945,168.41207266223464,169.544677734375,100219000
2016-03-08,168.47125701607789,168.97838729951602,167.5330511599525,167.69363403320312,123974900
2016-03-09,168.50507970117934,168.86852246743945,167.71900897155595,168.52198791503906,94801200
2016-03-10,169.0122651739037,169.95047137114787,166.83156933984455,168.65725708007812,156838700
2016-03-11,170.11098495754135,171.4210940354424,168.6402930134651,171.3788299560547,137964500
2016-03-14,170.8717282412068,171.61552199450793,170.54208900241045,171.1591033935547,73612000
2016-03-15,170.19555358982376,171.1844713761723,169.93353429137107,170.88018798828125,93169100
2016-03-16,170.39840264831153,172.27481460482147,170.35613856156,171.8690948486328,129303200
2016-03-17,171.7845879527083,173.46658777165402,171.38732873280304,172.95945739746094,134278500
2016-03-18,173.46063389996314,173.9788838558817,173.1462900289595,173.63905334472656,138372400
2016-03-21,173.37569122009475,174.11482974798653,173.14629848382694,173.88543701171875,72926700
2016-03-22,173.1123181271733,174.36121548595858,172.95090704313338,173.7919921875,97471900
